element,id,geometry,internet_access,name,name:mr,network,operator,public_transport,railway,ref,train,wikidata,wikipedia,amenity,addr:city,addr:district,addr:postcode,addr:street,brand,building,fuel:air,fuel:cng,fuel:diesel,fuel:petrol,self_service,name:azb,name:be,name:de,name:el,name:en,name:es,name:hi,name:ks,name:sr,name:uk,name:ur,name:fa,cuisine,branch,brand:wikidata,brand:wikipedia,addr:full,addr:state,healthcare,source,email,operator:type,website,healthcare:speciality,opening_hours,addr:housenumber,brand:ur,short_name,short_name:ur,covered,addr:subdistrict,description,network:wikidata,station,subway,bicycle,wheelchair,bus,air_conditioning,atm,drive_through,addr:floor,check_date,level,diet:vegetarian,grades,delivery,diet:non-vegetarian,smoking,toilets,fuel:h70,phone,fuel:octane_91,fuel:octane_95,emergency,official_name,layer,opening_hours:covid19,building:levels,wikimedia_commons,addr:neighbourhood,bar,landuse,name:etymology:wikidata,type
node,12035806969,POINT (73.819733 18.6284915),,Indian Oil,,,,,,,,,,fuel,,,,,Indian Oil,,,,,,,,,,,,,,,,,,,,,Q1289348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,12049076645,POINT (73.8115033 18.625316),,Hindustan Antibiotics School,,,,,,,,,,school,pimpri,pune,,Old Pune–Mumbai Highway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"old school by Decan Education Society.
basketball court.",,,,,,,,,,,,,,1-10,,,,,,,,,,,,,,,,,,,
node,12049125596,POINT (73.8113796 18.6203015),,Indian Oil Petrol Pump,,,,,,,,,,fuel,pimpri,pune,,Old Pune–Mumbai Highway,Indian Oil Petrol Pump,,,,yes,yes,no,,,,,,,,,,,,,,,Q1289348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,
node,12091376985,POINT (73.793938 18.5940005),,Federal Bank,फेडरल बँक,,,,,,,,,bank,,,,,Federal Bank,,,,,,,,,,,,,,,,,,,,,Q2044983,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-04,,,,,,,,,,,,,,,,,,,,,,
node,12688256461,POINT (73.8154203 18.5820681),,Cake Story Desserts,,,,,,,,,,restaurant,Pimpri-Chinchwad,Pune,411061,"Krushna Chowk, Radha Raman Complex, Vinayak Nagar, New Sangavi",,,,,,,,,,,,,,,,,,,,cake,,,,,,,,,,https://maps.app.goo.gl/6fZcfB183Ut4KFrL6,,Mo-Su 09:00-23:00,"Shop No 6,",,,,,,,,,,,,,,,,,,,yes,,,,,,,+91-9689-518109,,,,,,,,,,,,,
node,13347272452,POINT (73.8296208 18.6161398),,city hospital,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,18077260,"MULTIPOLYGON (((73.832868 18.581045, 73.8328226 18.5810288, 73.8328072 18.5810232, 73.8329221 18.5807261, 73.8328694 18.580708, 73.832801 18.5806837, 73.832736 18.5808543, 73.832781 18.5808699, 73.832712 18.5810481, 73.8327325 18.5810553, 73.8323376 18.5820578, 73.8323989 18.5820796, 73.8327876 18.581074, 73.8328032 18.5810796, 73.8328486 18.5810957, 73.8328609 18.5811001, 73.8329198 18.581121, 73.8331675 18.5804824, 73.8331083 18.5804615, 73.8328805 18.5810495, 73.832868 18.581045)), ((73.8324707 18.5821072, 73.8325286 18.5821292, 73.8328674 18.581256, 73.8328083 18.5812357, 73.8324707 18.5821072)))",,Dapodi,दापोडी,,,station,,DAPD,,Q15212786,en:Dapodi railway station,,,,,,,train_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Category:Dapodi railway station,,,,,multipolygon
way,53348758,"POLYGON ((73.8352626 18.5889947, 73.834699 18.58816, 73.8342834 18.5875071, 73.8337916 18.5868723, 73.8355099 18.5858944, 73.8362855 18.5871186, 73.8368909 18.5880743, 73.8352626 18.5889947))",,Kendriya Vidyalaya College of Military Engineering,,,,,,,,,,school,,,,,Kendriya Vidyalaya,,,,,,,,,,,,,,,,,,,,,Q1156653,,,,,,,government_non_profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,210788895,"POLYGON ((73.8280123 18.5986375, 73.8282398 18.5981416, 73.828368 18.5986067, 73.8280123 18.5986375))",,,,,,,,,,,,fuel,,,,,BPCL,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,
way,229242164,"POLYGON ((73.790501 18.6039357, 73.7904978 18.6038845, 73.7904935 18.6038157, 73.7903917 18.6038214, 73.7903992 18.6039414, 73.790501 18.6039357))",,Dr. Chame Hospital,,,,,,,,,,hospital,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
way,242682734,"POLYGON ((73.8150075 18.6157862, 73.8163318 18.6142648, 73.8164455 18.6142265, 73.8165322 18.6142265, 73.8166016 18.6142393, 73.816842 18.6159078, 73.8166785 18.6159001, 73.816564 18.6158717, 73.8164904 18.6158252, 73.8163241 18.6156599, 73.8159916 18.6158665, 73.8158662 18.6159207, 73.8157599 18.6159492, 73.8156345 18.6159569, 73.8154083 18.6159466, 73.8150075 18.6157862))",,Pimpri-Chinchwad Bus Stand,पिंपरी-चिंचवड बस स्थानक,,,station,,,,,,bus_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,260467926,"POLYGON ((73.8291086 18.5821627, 73.8290863 18.5819644, 73.8294039 18.5819442, 73.8294326 18.5821265, 73.8291086 18.5821627))",,HP Mata shitaladevi Petrol Pump,,,,,,,,,,fuel,,,,,Hindustan Petroleum,,,,,,,,,,,,,,,,,,,,,Q1619375,,,,,,,,,,10:00-17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hindustan Petroleum,,,,,,,,,
way,260625425,"POLYGON ((73.8036145 18.6258833, 73.8042697 18.6257274, 73.8043165 18.6257889, 73.8045716 18.626045, 73.8042953 18.6264269, 73.8036145 18.6258833))",,Vishal E-Square,विशाल ई-स्क्वेअर,,,,,,,,,cinema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,263797368,"POLYGON ((73.8267011 18.6020551, 73.8268107 18.601809, 73.8266343 18.6017397, 73.8264364 18.602128, 73.8267011 18.6020551))",,Indian Oil,,,,,,,,,,fuel,,,,,Indian Oil,,,,yes,,,,,,,,,,,,,,,,,Q1289348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,
way,263797374,"POLYGON ((73.817574 18.6128252, 73.8178713 18.6129413, 73.8176264 18.6131902, 73.8174026 18.6130285, 73.817574 18.6128252))",,Shell,,,,,,,,,,fuel,,,,,Shell,,,,yes,,,,,,,,,,,,,,,,,Q110716465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,
way,359519692,"POLYGON ((73.7995999 18.632874, 73.799731 18.6327213, 73.7995664 18.6325944, 73.7994876 18.6326863, 73.7995131 18.6327059, 73.7994608 18.6327669, 73.7995999 18.632874))",,Indian Oil,,,,,,,,,,fuel,,,,,Indian Oil,,,,,,,,,,,,,,,,,انڈین آئل,,,,Q1289348,en:Indian Oil Corporation,,,,,,,,,,,انڈین آئل,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,359527638,"POLYGON ((73.8425225 18.6168561, 73.8427871 18.6168034, 73.8427622 18.6166909, 73.8424976 18.6167436, 73.8425225 18.6168561))",,,,,Shree Swami Samarth Enterprises,,,,,,,fuel,,,,,Hindustan Petroleum (HP),,,,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Mo-Su 09:00-19:00,,,,,,,
way,359533380,"POLYGON ((73.8227377 18.6243553, 73.8226953 18.6245774, 73.8227209 18.624611, 73.8227643 18.6246324, 73.822752 18.6246603, 73.8228046 18.624694, 73.8228987 18.6247042, 73.8229651 18.6243739, 73.8228647 18.6242928, 73.8228332 18.624331, 73.8228667 18.6243646, 73.8227591 18.6243487, 73.8227377 18.6243553))",,Dental College - DY Patil Vidyapeeth,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,orthodontics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
way,359533471,"POLYGON ((73.8112728 18.6202631, 73.8114244 18.6203895, 73.8114813 18.6203283, 73.8113296 18.6202019, 73.8112728 18.6202631))",,Indian Oil Petrol Pump,,,,,,,,,,fuel,pimpri,pune,,Old Pune–Mumbai Highway,Indian Oil Petrol Pump,,,,yes,yes,no,,,,,,,,,,,,,,,Q1289348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,
way,359539613,"POLYGON ((73.8016636 18.6314778, 73.8018534 18.631625, 73.80197 18.6314899, 73.8017802 18.6313427, 73.8016636 18.6314778))",,Bank of Maharashtra,,,,,,,,,,bank,,,,,Bank of Maharashtra,yes,,,,,,,,,,,,,,,,,,,,Q2004304,en:Bank of Maharashtra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,359555674,"POLYGON ((73.8028891 18.6263937, 73.8029966 18.6264738, 73.8029036 18.6265801, 73.803028 18.6266778, 73.8031229 18.6265694, 73.8032985 18.6267073, 73.8032037 18.6268158, 73.8033285 18.6269139, 73.8034181 18.6268115, 73.8035124 18.6268856, 73.8036067 18.6267777, 73.8034955 18.6266903, 73.8035589 18.6266052, 73.8034492 18.6265269, 73.803388 18.6265936, 73.8032009 18.6264466, 73.8032542 18.6263795, 73.803108 18.6262817, 73.8030515 18.6263548, 73.802974 18.6262969, 73.8028891 18.6263937))",,Bank Of India,,,,,,,,,,bank,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,359561623,"POLYGON ((73.795879 18.6387387, 73.796077 18.6385101, 73.7958694 18.6383487, 73.7958223 18.6384031, 73.7958641 18.6384355, 73.7957132 18.6386098, 73.795879 18.6387387))",,Bharat Petroleum,,,,,,,,,,fuel,,,,,Bharat Petroleum,,,,,,,,,,,,,,,,,,,,,Q854826,en:Bharat Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,359571957,"POLYGON ((73.8111965 18.6251596, 73.8111868 18.6251733, 73.8114224 18.6250616, 73.8115209 18.6251343, 73.8114664 18.6252007, 73.8115255 18.6252444, 73.8115801 18.625178, 73.8116887 18.6252581, 73.8115997 18.6253663, 73.8115532 18.6254229, 73.8116346 18.6254829, 73.81187 18.6251966, 73.8114319 18.6248733, 73.8111965 18.6251596))",,,,,,,,,,,,school,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
